epoch,train_rmse,val_rmse
1,0.0011010230213884414,0.0024534050819801263
2,0.001097033815247321,0.002437155691704355
3,0.0010908771184983197,0.002418516079060754
4,0.0010842722495017889,0.002398186038853594
5,0.0010773968636836172,0.0023770584509306037
6,0.0010704344137313546,0.0023558685038383405
7,0.0010635786395278147,0.0023353052751522367
8,0.0010570265293346995,0.0023159969585112147
9,0.0010509351493794717,0.0022982961813171844
10,0.0010453429835198481,0.0022822365310946465
11,0.0010401735751201287,0.002267491687748666
12,0.0010352378637068938,0.0022533917218289725
13,0.001030245200457387,0.002239101596385126
14,0.0010248811740270402,0.0022237922100909915
15,0.0010188769132741106,0.00220680635380475
16,0.0010120357543700904,0.002187767652918699
17,0.0010042535225860598,0.002166648266412497
18,0.0009955611400735604,0.0021437794565998904
19,0.000986105539293171,0.002119828883406411
20,0.000976123704793789,0.0020956910120461763
21,0.0009659362690352438,0.0020724025806223246
22,0.0009559188891565694,0.0020509753074130607
23,0.0009464503155374871,0.0020322812613813466
24,0.00093786483627674,0.002016944599704231
25,0.0009304506813870404,0.002005325706842422
26,0.0009244280060665346,0.001997506166387483
27,0.0009199446013979445,0.001993341915005442
28,0.0009170975926095387,0.0019925256431628643
29,0.0009159043206567173,0.001994702484987195
30,0.0009162899997328137,0.0019994936816668803
31,0.0009181006257518726,0.002006483245045519
32,0.0009211184487732219,0.0020152089402850864
